source,destination,relationshipType,distance
fat,pig,possessor_of_x,6.030
fat,body,possessor_of_x,5.070
fat,animal,possessor_of_x,4.440
fat,patient,possessor_of_x,4.120
fat,person,possessor_of_x,1.650
fat,mother,possessor_of_x,0.570
fat,man,possessor_of_x,0.140
fat,store,subject_verb,4.790
fat,sick,modified_noun,7.310
fat,fast,modified_noun,7.130
fat,salt,modified_noun,7.120
spoon,sweet,adjective_predicates,6.000
spoon,full,adjective_predicates,4.430
spoon,clean,adjective_predicates,2.760
spoon,big,adjective_predicates,0.840
spoon,fork,modifiers,7.720
spoon,soup,modifiers,7.310
spoon,table,modifiers,6.620
spoon,dip,object_verb,6.800
spoon,lick,object_verb,6.630
spoon,coat,object_verb,5.430
spoon,stir,object_verb,5.020
